,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,14400,370419.0,421876.0,51456.9,1
1,2,11587,200188.0,221066.0,20878.1,1
2,3,10610,239299.0,268581.0,29281.5,1
3,4,18702,313873.0,353051.0,39177.8,1
4,5,14374,359847.0,408314.0,48466.5,1
5,6,10714,247080.0,273787.0,26707.4,1
6,7,9767,201815.0,224047.0,22232.6,1
7,8,9965,214397.0,240382.0,25984.8,1
8,9,21326,474887.0,523326.0,48438.8,1
9,10,11871,344475.0,370844.0,26369.4,1
10,11,11389,267271.0,300130.0,32859.0,1
11,12,15680,385218.0,431551.0,46332.4,1
12,13,10334,176064.0,195589.0,19525.1,1
13,14,7751,205709.0,227572.0,21863.6,1
14,15,12572,347783.0,384670.0,36887.0,1
