,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,12649,366244.0,566262.0,200018.0,1
1,2,13951,232704.0,372896.0,140192.0,1
2,3,9412,165907.0,266882.0,100975.0,1
3,4,8468,170571.0,268851.0,98279.7,1
4,5,7179,127883.0,205610.0,77727.8,1
5,6,9375,191822.0,312685.0,120863.0,1
6,7,5746,106717.0,160612.0,53894.8,1
7,8,13395,244201.0,405676.0,161475.0,1
8,9,8816,168905.0,256612.0,87707.5,1
9,10,7973,167370.0,268848.0,101478.0,1
10,11,11484,243877.0,384751.0,140874.0,1
11,12,9877,172627.0,283370.0,110742.0,1
12,13,14246,213321.0,343682.0,130361.0,1
13,14,8954,154964.0,249800.0,94835.5,1
14,15,13426,271611.0,427073.0,155462.0,1
