,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,11437,187445.0,263475.0,76029.9,1
1,2,10317,178401.0,262994.0,84592.8,1
2,3,12265,229534.0,326027.0,96492.9,1
3,4,7926,143516.0,203796.0,60280.1,1
4,5,7728,118851.0,183363.0,64512.0,1
5,6,10047,158805.0,228132.0,69327.0,1
6,7,7988,183454.0,266070.0,82615.7,1
7,8,8430,167211.0,236756.0,69544.8,1
8,9,7379,171532.0,246267.0,74734.9,1
9,10,8357,190131.0,270580.0,80448.6,1
10,11,8770,177146.0,251894.0,74747.2,1
11,12,8069,238218.0,338082.0,99864.1,1
12,13,11476,268232.0,397730.0,129499.0,1
13,14,6953,187645.0,273200.0,85555.2,1
14,15,3018,74189.3,100200.0,26010.3,1
