,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,15110,307211.0,344641.0,37430.3,1
1,2,13216,336999.0,386424.0,49424.5,1
2,3,13461,259827.0,300584.0,40756.9,1
3,4,10379,223472.0,257538.0,34065.5,1
4,5,9332,198103.0,231825.0,33721.9,1
5,6,17730,414767.0,461756.0,46988.6,1
6,7,13617,305775.0,346279.0,40504.3,1
7,8,10497,181168.0,205946.0,24778.0,1
8,9,11938,255480.0,287105.0,31624.7,1
9,10,9767,178776.0,208268.0,29492.2,1
10,11,7438,225177.0,250893.0,25716.0,1
11,12,16227,386584.0,434690.0,48106.0,1
12,13,8893,202622.0,229203.0,26580.9,1
13,14,10004,156054.0,178300.0,22245.6,1
14,15,16472,309438.0,353808.0,44370.5,1
