,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,4441,61118.4,160365.0,99246.3,1
1,2,2306,50612.0,112285.0,61672.7,1
2,3,5089,75404.4,191606.0,116201.0,1
3,4,992,18081.0,55581.1,37500.1,1
4,5,1983,39754.0,95525.0,55771.0,1
5,6,2027,35228.1,95784.9,60556.8,1
6,7,2980,34885.7,125072.0,90185.8,1
7,8,5593,75595.4,195732.0,120137.0,1
8,9,3114,67777.4,166247.0,98470.1,1
9,10,897,31874.7,70586.1,38711.4,1
10,11,2677,40071.8,96247.4,56175.6,1
11,12,4188,74021.0,176948.0,102927.0,1
12,13,1001,35552.9,70156.9,34604.0,1
13,14,4342,45834.2,144928.0,99093.5,1
14,15,5093,73050.7,196087.0,123036.0,1
