,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,6803,120792.0,264131.0,143339.0,1
1,2,4745,136768.0,266930.0,130162.0,1
2,3,6056,117585.0,245223.0,127638.0,1
3,4,8106,117490.0,266103.0,148613.0,1
4,5,4077,84560.2,184659.0,100099.0,1
5,6,6875,107627.0,227622.0,119996.0,1
6,7,3055,69889.2,149680.0,79790.3,1
7,8,5081,105384.0,229256.0,123871.0,1
8,9,3136,59897.5,129323.0,69425.6,1
9,10,5685,85917.5,191144.0,105227.0,1
10,11,3341,105164.0,202600.0,97435.8,1
11,12,5454,90966.4,209628.0,118661.0,1
12,13,6002,92843.7,199360.0,106517.0,1
13,14,6705,89828.5,200894.0,111066.0,1
14,15,4081,101219.0,199919.0,98699.8,1
