,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,3070,64378.1,142304.0,77926.2,1
1,2,1994,42960.2,110387.0,67426.7,1
2,3,3201,48569.7,126732.0,78162.7,1
3,4,3470,90006.5,200943.0,110937.0,1
4,5,2960,42069.3,110672.0,68602.4,1
5,6,4531,88792.3,224149.0,135357.0,1
6,7,3750,45823.0,113945.0,68121.8,1
7,8,3572,78475.9,202914.0,124438.0,1
8,9,3827,66351.7,162254.0,95902.1,1
9,10,4116,69044.4,164390.0,95345.1,1
10,11,4429,73023.6,174811.0,101787.0,1
11,12,4645,73148.9,171863.0,98714.4,1
12,13,6416,83956.6,238576.0,154620.0,1
13,14,2519,38116.5,81359.2,43242.7,1
14,15,4019,66497.7,183709.0,117211.0,1
