,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,11377,211646.0,276371.0,64724.8,1
1,2,10333,168893.0,238587.0,69694.0,1
2,3,10609,205981.0,279106.0,73125.4,1
3,4,5992,140227.0,197835.0,57608.7,1
4,5,11827,219554.0,292967.0,73412.5,1
5,6,12316,269741.0,362660.0,92919.0,1
6,7,14244,297304.0,411356.0,114052.0,1
7,8,14434,328593.0,441684.0,113091.0,1
8,9,7875,213607.0,290515.0,76908.0,1
9,10,12564,233937.0,329491.0,95553.5,1
10,11,10880,188609.0,256437.0,67828.0,1
11,12,11452,161103.0,224423.0,63319.9,1
12,13,8226,144942.0,212784.0,67841.3,1
13,14,6015,169716.0,239802.0,70086.2,1
14,15,3587,95475.3,132890.0,37414.4,1
