,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,12214,188829.0,302769.0,113941.0,1
1,2,7371,203443.0,323137.0,119694.0,1
2,3,7396,141815.0,226081.0,84266.0,1
3,4,6712,163242.0,260368.0,97126.0,1
4,5,7995,188008.0,305478.0,117470.0,1
5,6,7284,152150.0,240782.0,88631.7,1
6,7,11982,242930.0,417626.0,174696.0,1
7,8,7430,170105.0,274016.0,103911.0,1
8,9,13115,199881.0,330241.0,130361.0,1
9,10,7626,162369.0,282335.0,119967.0,1
10,11,6256,132095.0,221410.0,89315.0,1
11,12,10596,188498.0,302403.0,113905.0,1
12,13,11245,165518.0,281900.0,116382.0,1
13,14,13804,239333.0,400758.0,161424.0,1
14,15,5001,142073.0,223752.0,81679.8,1
