,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,10353,149802.0,226586.0,76783.5,1
1,2,9604,190937.0,295500.0,104563.0,1
2,3,10212,236989.0,343366.0,106377.0,1
3,4,8229,167219.0,256640.0,89421.0,1
4,5,5855,114343.0,170883.0,56539.4,1
5,6,8739,178237.0,260562.0,82325.0,1
6,7,7474,181070.0,267837.0,86766.3,1
7,8,12584,278009.0,412050.0,134041.0,1
8,9,6112,144178.0,220606.0,76427.8,1
9,10,6727,141252.0,198889.0,57636.7,1
10,11,11942,256200.0,380694.0,124494.0,1
11,12,5489,136212.0,210859.0,74647.2,1
12,13,7861,192716.0,293265.0,100549.0,1
13,14,8357,189468.0,281943.0,92475.5,1
14,15,11885,234569.0,339664.0,105095.0,1
