,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,10233,229893.0,290423.0,60529.8,1
1,2,16510,260849.0,342055.0,81206.5,1
2,3,10320,161719.0,208869.0,47149.7,1
3,4,12113,206390.0,271667.0,65276.8,1
4,5,12338,303612.0,388988.0,85376.3,1
5,6,8869,163461.0,210735.0,47273.7,1
6,7,13574,319511.0,411654.0,92142.8,1
7,8,9582,210203.0,286024.0,75820.6,1
8,9,14248,271798.0,358630.0,86831.2,1
9,10,9671,260037.0,329950.0,69912.3,1
10,11,9737,217246.0,295996.0,78749.9,1
11,12,8996,202547.0,255091.0,52543.6,1
12,13,12909,180667.0,231751.0,51084.0,1
13,14,9431,214388.0,279769.0,65380.5,1
14,15,14371,341806.0,448598.0,106792.0,1
