,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,9779,244716.0,351903.0,107187.0,1
1,2,7631,131795.0,181368.0,49572.6,1
2,3,10340,257289.0,365126.0,107837.0,1
3,4,14260,215052.0,304807.0,89755.8,1
4,5,9183,198748.0,272654.0,73905.5,1
5,6,12174,263927.0,372281.0,108353.0,1
6,7,8068,180801.0,265696.0,84895.8,1
7,8,6775,225194.0,320768.0,95574.9,1
8,9,9441,255347.0,348029.0,92682.8,1
9,10,8580,155497.0,218714.0,63217.2,1
10,11,7463,131796.0,192164.0,60367.8,1
11,12,6858,170389.0,245285.0,74896.4,1
12,13,12048,288212.0,407363.0,119151.0,1
13,14,14593,267156.0,380421.0,113265.0,1
14,15,8437,177864.0,251502.0,73638.0,1
