,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,7903,188682.0,285402.0,96720.1,1
1,2,10585,239490.0,360191.0,120701.0,1
2,3,8929,205676.0,298499.0,92823.7,1
3,4,13881,279917.0,424191.0,144274.0,1
4,5,10188,232011.0,339279.0,107268.0,1
5,6,9285,204233.0,312619.0,108386.0,1
6,7,12599,188135.0,276641.0,88506.5,1
7,8,8249,137843.0,204776.0,66932.9,1
8,9,7598,150064.0,236017.0,85953.3,1
9,10,9723,196591.0,290696.0,94105.1,1
10,11,9520,151603.0,230655.0,79051.9,1
11,12,7025,114071.0,175211.0,61140.3,1
12,13,17742,268200.0,405353.0,137153.0,1
13,14,10986,180409.0,266506.0,86097.0,1
14,15,7771,151837.0,227021.0,75184.1,1
