,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,1438,24800.8,75915.0,51114.3,1
1,2,1597,24471.0,58374.3,33903.3,1
2,3,1633,18695.5,72454.9,53759.4,1
3,4,1843,19595.2,74522.5,54927.2,1
4,5,1662,32669.1,90288.1,57619.1,1
5,6,1584,28934.3,75353.4,46419.1,1
6,7,2295,38635.0,105791.0,67155.6,1
7,8,1626,31902.0,84330.2,52428.2,1
8,9,1413,49054.0,102864.0,53809.8,1
9,10,3384,26050.2,87944.7,61894.5,1
10,11,2002,53334.5,97599.6,44265.1,1
11,12,1244,21444.7,59675.0,38230.4,1
12,13,1464,16867.4,48509.9,31642.6,1
13,14,1098,21554.7,54986.8,33432.1,1
14,15,1189,29984.5,79560.8,49576.2,1
