,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,18696,247286.0,297646.0,50359.8,1
1,2,9413,191522.0,225680.0,34157.9,1
2,3,9631,160888.0,189374.0,28485.7,1
3,4,14392,269408.0,323641.0,54232.1,1
4,5,24296,414780.0,504409.0,89628.4,1
5,6,12879,268305.0,321941.0,53635.6,1
6,7,19334,363605.0,432330.0,68724.6,1
7,8,11948,164151.0,199391.0,35240.0,1
8,9,13959,264173.0,328408.0,64234.3,1
9,10,13610,214323.0,258533.0,44209.9,1
10,11,11292,271084.0,327589.0,56504.8,1
11,12,19634,372712.0,452380.0,79668.8,1
12,13,12735,283992.0,343425.0,59433.1,1
13,14,6591,190123.0,222772.0,32649.2,1
14,15,12191,271911.0,330162.0,58250.9,1
