,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,13367,296504.0,329596.0,33092.6,1
1,2,11321,225164.0,245098.0,19933.8,1
2,3,14020,320454.0,359640.0,39186.1,1
3,4,18028,290843.0,324527.0,33684.0,1
4,5,11177,306011.0,320302.0,14291.4,1
5,6,16437,312982.0,346639.0,33657.4,1
6,7,13792,279905.0,302514.0,22609.1,1
7,8,13311,286305.0,324988.0,38682.1,1
8,9,13707,319462.0,341717.0,22255.1,1
9,10,7859,176171.0,200218.0,24046.9,1
10,11,19255,397697.0,441586.0,43888.8,1
11,12,10615,253120.0,277710.0,24590.0,1
12,13,8854,190922.0,205633.0,14711.5,1
13,14,14507,318450.0,341996.0,23545.8,1
14,15,10998,318795.0,345656.0,26861.2,1
