,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,8797,189859.0,311892.0,122034.0,1
1,2,7628,134273.0,220516.0,86243.5,1
2,3,6150,110505.0,178548.0,68043.0,1
3,4,6350,175487.0,262924.0,87436.5,1
4,5,6969,130254.0,214314.0,84059.9,1
5,6,5534,71428.6,121878.0,50449.1,1
6,7,8838,168180.0,270645.0,102465.0,1
7,8,10370,185141.0,309894.0,124753.0,1
8,9,4002,117457.0,186542.0,69084.8,1
9,10,8157,203577.0,321608.0,118031.0,1
10,11,5734,104458.0,172897.0,68438.5,1
11,12,12416,194521.0,319649.0,125128.0,1
12,13,7528,138794.0,223207.0,84413.2,1
13,14,10312,177440.0,286883.0,109443.0,1
14,15,8090,169706.0,270664.0,100957.0,1
