,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,12616,280169.0,306435.0,26265.9,1
1,2,14742,320274.0,349585.0,29310.7,1
2,3,23026,512329.0,553014.0,40684.2,1
3,4,6036,199236.0,215162.0,15926.1,1
4,5,10934,250393.0,272077.0,21683.8,1
5,6,13774,323209.0,345720.0,22511.2,1
6,7,12028,294259.0,308246.0,13986.6,1
7,8,11454,281394.0,298378.0,16983.8,1
8,9,17104,320432.0,351237.0,30804.8,1
9,10,17741,370660.0,397327.0,26666.9,1
10,11,20839,420669.0,456755.0,36085.2,1
11,12,16372,300051.0,326461.0,26410.0,1
12,13,16799,424746.0,466133.0,41386.3,1
13,14,14290,253626.0,277468.0,23841.5,1
14,15,4154,104227.0,112418.0,8190.9,1
