,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,4440,92821.5,198868.0,106047.0,1
1,2,7115,124615.0,294947.0,170332.0,1
2,3,5471,108907.0,233303.0,124396.0,1
3,4,5738,70644.2,149430.0,78785.5,1
4,5,3909,77729.7,173611.0,95881.4,1
5,6,5786,81504.6,187744.0,106239.0,1
6,7,2917,63980.0,140696.0,76715.7,1
7,8,5037,91562.1,218627.0,127065.0,1
8,9,3517,57279.6,132978.0,75698.2,1
9,10,3640,58923.0,142286.0,83363.2,1
10,11,5322,114186.0,259753.0,145567.0,1
11,12,5884,75414.4,191130.0,115716.0,1
12,13,4963,108039.0,240163.0,132123.0,1
13,14,3650,74970.2,179531.0,104561.0,1
14,15,5001,78331.4,185721.0,107389.0,1
