,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,8260,134728.0,319804.0,185076.0,1
1,2,4460,51076.6,128148.0,77071.1,1
2,3,3937,76664.8,194432.0,117767.0,1
3,4,4606,73041.3,186486.0,113445.0,1
4,5,4667,62646.4,157544.0,94897.6,1
5,6,4661,76654.5,191853.0,115198.0,1
6,7,4526,78192.0,191331.0,113139.0,1
7,8,9050,72671.3,175295.0,102623.0,1
8,9,6200,88786.8,227950.0,139163.0,1
9,10,6675,109869.0,279205.0,169337.0,1
10,11,3663,76536.6,186691.0,110155.0,1
11,12,5685,108110.0,255086.0,146975.0,1
12,13,6293,123991.0,322428.0,198437.0,1
13,14,3411,69130.8,168340.0,99208.9,1
14,15,6593,94084.2,248481.0,154397.0,1
