,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,12008,242307.0,273384.0,31077.3,1
1,2,14516,283548.0,317851.0,34303.2,1
2,3,15009,235920.0,272158.0,36237.9,1
3,4,13112,207909.0,237306.0,29396.8,1
4,5,10758,311198.0,358303.0,47105.3,1
5,6,10267,227520.0,261554.0,34034.8,1
6,7,17753,367977.0,417878.0,49900.6,1
7,8,10994,273293.0,325740.0,52447.0,1
8,9,18507,356154.0,398566.0,42412.1,1
9,10,9337,172389.0,192102.0,19712.9,1
10,11,10153,236265.0,275883.0,39618.3,1
11,12,13989,281792.0,321674.0,39882.0,1
12,13,12928,253443.0,292550.0,39107.3,1
13,14,12615,280895.0,313464.0,32568.7,1
14,15,11898,284259.0,328570.0,44311.1,1
